E_keV,charge_shape_m1000,magnetic_shape_m1000
24.252750000000006,33.65203238435341,1.2996195875520342
24.418125000000003,33.110188425058325,1.287899596771974
24.5835,32.57816111114753,1.2762704446079387
24.748875000000005,32.055735868397186,1.2647315175890927
24.914250000000003,31.542703931536803,1.2532822059309767
25.079625,31.03886215209002,1.2419219035154536
25.245000000000005,30.544012813771417,1.2306500078707292
25.410375000000002,30.057963455095567,1.2194659201515041
25.575750000000006,29.580526698870976,1.2083690451191973
25.741125000000004,29.111520088270307,1.1973587911222814
25.9065,28.650765929182242,1.1864345700767212
26.071875000000006,28.198091138566355,1.1755957974464961
26.237250000000003,27.753327098546244,1.1648418922242327
26.402625,27.316309515988888,1.1541722769119296
26.568000000000005,26.886878287331676,1.1435863775017725
26.733375000000002,26.464877368429544,1.133083623457064
26.89875,26.050154649206178,1.1226634476932253
27.064125000000004,25.64256183290387,1.1123252865589128
27.2295,25.241954319736518,1.102068579817218
27.394875000000006,24.84819109475948,1.091892770626965
27.560250000000003,24.461134619779624,1.081797305524108
27.725625,24.080650729136185,1.0717816344032112
27.891000000000005,23.706608529192323,1.0618452104990277
28.056375000000003,23.338880301384194,1.0519874903681767
28.22175,22.977341408681166,1.0422079338709025
28.387125000000005,22.62187020531849,1.0325060041529266
28.552500000000002,22.27234794966983,1.0228811676274043
28.717875000000006,21.928658720132457,1.013332893956956
28.883250000000004,21.590689333905015,1.003860656035794
29.048625,21.258329268542184,0.9944639299719478
29.214000000000006,20.93147058617631,0.985142195069562
29.379375000000003,20.61000786030105,0.9758949338113083
29.54475,20.29383810501612,0.9667216318408551
29.710125000000005,19.982860706638036,0.957621777945457
29.875500000000002,19.676977357584406,0.9485948640386073
30.040875000000007,19.376091992444575,0.9396403851427919
30.206250000000004,19.080110726152782,0.9307578393723304
30.371625,18.788941794183465,0.9219467279162943
30.537000000000006,18.502495494692244,0.9132065550215207
30.702375000000004,18.220684132529293,0.9045368279757107
30.86775,17.943421965054437,0.8959370570906077
31.033125000000005,17.670625149687314,0.8874067556852666
31.198500000000003,17.40221169312787,0.8789454400694098
31.363875000000007,17.138101402185455,0.870552629526855
31.529250000000005,16.87821583615785,0.8622278462990454
31.694625000000002,16.622478260703083,0.8539706155686495
31.860000000000007,16.37081360315016,0.8457804654432434
32.025375000000004,16.12314840919671,0.8376569269390933
32.19075,15.879410800943205,0.8295995339649948
32.356125000000006,15.639530436216496,0.8216078233062156
32.5215,15.403438469136466,0.8136813346085103
32.686875,15.171067511881656,0.8058196103622157
