mass_GeV,delta_keV,recoil_keV,raw_counts_per_keV_in_2p84_tonne_year
1440.0,380.38780826624486,32.852250000000005,0.0
1440.0,380.38780826624486,33.017625,0.0
1440.0,380.38780826624486,33.18300000000001,0.0
1440.0,380.38780826624486,33.348375000000004,0.0
1440.0,380.38780826624486,33.51375,0.0
1440.0,380.38780826624486,33.679125000000006,0.0
1440.0,380.38780826624486,33.844500000000004,0.0
1440.0,380.38780826624486,34.009875,0.0
1440.0,380.38780826624486,34.175250000000005,0.0
1440.0,380.38780826624486,34.340625,0.0
1440.0,380.38780826624486,34.50600000000001,0.0
1440.0,380.38780826624486,34.671375000000005,0.0
1440.0,380.38780826624486,34.83675,0.0
1440.0,380.38780826624486,35.00212500000001,0.0
1440.0,380.38780826624486,35.167500000000004,0.0
1440.0,380.38780826624486,35.332875,0.0
1440.0,380.38780826624486,35.498250000000006,0.0
1440.0,380.38780826624486,35.663625,0.0
1440.0,380.38780826624486,35.82900000000001,0.0
1440.0,380.38780826624486,35.994375000000005,0.0
1440.0,380.38780826624486,36.15975,0.0
1440.0,380.38780826624486,36.32512500000001,0.0
1440.0,380.38780826624486,36.490500000000004,0.0
1440.0,380.38780826624486,36.655875,0.0
1440.0,380.38780826624486,36.821250000000006,0.0
1440.0,380.38780826624486,36.986625000000004,0.0
1440.0,380.38780826624486,37.152,0.0
1440.0,380.38780826624486,37.317375000000006,0.0
1440.0,380.38780826624486,37.48275,0.0
1440.0,380.38780826624486,37.648125,0.0
1440.0,380.38780826624486,37.813500000000005,0.0
1440.0,380.38780826624486,37.978875,0.0
1440.0,380.38780826624486,38.14425,0.0
1440.0,380.38780826624486,38.309625000000004,0.0
1440.0,380.38780826624486,38.475,0.0
1440.0,380.38780826624486,38.640375000000006,0.0
1440.0,380.38780826624486,38.80575,0.0
1440.0,380.38780826624486,38.971125,0.0
1440.0,380.38780826624486,39.136500000000005,0.0
1440.0,380.38780826624486,39.301875,0.0
1440.0,380.38780826624486,39.46725,0.0
1440.0,380.38780826624486,39.632625000000004,0.0
1440.0,380.38780826624486,39.798,0.0
1440.0,380.38780826624486,39.963375000000006,0.0
1440.0,380.38780826624486,40.128750000000004,0.0
1440.0,380.38780826624486,40.294125,0.0
1440.0,380.38780826624486,40.459500000000006,0.0
1440.0,380.38780826624486,40.624875,0.0
1440.0,380.38780826624486,40.79025,0.0
1440.0,380.38780826624486,40.955625000000005,0.0
1440.0,380.38780826624486,41.121,0.0
1440.0,380.38780826624486,41.28637500000001,0.0
1440.0,380.38780826624486,41.451750000000004,0.0
1440.0,380.38780826624486,41.617125,0.0
1440.0,380.38780826624486,41.782500000000006,0.0
1440.0,380.38780826624486,41.947875,0.0
1440.0,380.38780826624486,42.11325,0.0
