photon_energy_keV,raw_photons_per_tonne_year_keV_R100nm,raw_photons_per_tonne_year_keV_R049nm,raw_photons_per_tonne_year_keV_colored_Ec10keV,atomic_shape_over_high_energy_R100nm
34.25,2.921620667485697e-07,2.483988866950868,2.2949546212269207e-08,0.6803852861486216
34.5,2.925845886985383e-07,2.4875071769694164,2.2676581181828196e-08,0.6863427509520239
34.75,2.9306833090504903e-07,2.4915470676155875,2.2413332510304406e-08,0.6924592309060288
35.0,2.9359911983703723e-07,2.4959896028732897,2.215842413864432e-08,0.6987041179464945
35.25,2.941636852357282e-07,2.5007233991209765,2.1910613862351153e-08,0.7050480052466195
35.5,2.947498818318885e-07,2.505646480565479,2.1668802193118063e-08,0.7114632991664156
35.75,2.953468779645523e-07,2.5106678578376833,2.1432037949262265e-08,0.7179247733599426
36.0,2.959453077409484e-07,2.5157088015800033,2.1199520611815786e-08,0.7244100528767029
36.25,2.9653738430625844e-07,2.5207037906255207,2.0970599553149768e-08,0.7309000179261862
36.5,2.971169727414676e-07,2.5256011223151513,2.0744770308358706e-08,0.7373791190006942
36.75,2.976796220562522e-07,2.5303631804410447,2.0521668115386425e-08,0.7438355972206253
37.0,2.982225566710272e-07,2.534966364069092,2.0301058997346987e-08,0.7502616060264826
37.25,2.987446286688554e-07,2.539400687921129,2.00828286992214e-08,0.7566532326409756
37.5,2.9924623292670103e-07,2.5436690719434285,1.986696982085982e-08,0.763010420011944
37.75,2.997291879912787e-07,2.5477863440249124,1.9653567508956432e-08,0.7693367921735871
38.0,3.0019658623465354e-07,2.5517779854477554,1.944278408255528e-08,0.775639388084001
38.25,3.0065261739827023e-07,2.555678653466235,1.923484297002009e-08,0.7819283109693611
38.5,3.0110237010320677e-07,2.5595305193490057,1.9030012330744624e-08,0.7882163019918653
38.75,3.015516162636064e-07,2.5633814632382728,1.882858872280079e-08,0.7945182486273705
39.0,3.020065835863005e-07,2.56728316924982,1.863088115893279e-08,0.8008506394625164
39.25,3.024737214718139e-07,2.5712891653534817,1.8437195868600793e-08,0.8072309781787081
39.5,3.029594656516486e-07,2.5754528527456526,1.8247822054006842e-08,0.8136771702660599
39.75,3.0347000680746065e-07,2.5798255686827303,1.806301889408642e-08,0.8202068964945657
40.0,3.040110682247904e-07,2.5844547251312253,1.7883004013222965e-08,0.8268369873583289
40.25,3.045876972444139e-07,2.5893820631652944,1.770794359184122e-08,0.8335828126032253
40.5,3.0520407489657597e-07,2.5946420598762514,1.7537944254939e-08,0.8404576995557147
40.75,3.0586334764706703e-07,2.6002605207325993,1.7373046832876824e-08,0.8474723933025601
41.0,3.0656748465999103e-07,2.6062533859329426,1.721322204716401e-08,0.8546345708444115
41.25,3.073171634016676e-07,2.6126257744244397,1.7058368133310255e-08,0.8619484201813297
41.5,3.0811168578548324e-07,2.6193712840178227,1.6908310373740335e-08,0.8694142939098773
41.75,3.089489264011317e-07,2.626471560521218,1.6762802476917182e-08,0.8770284453472675
42.0,3.0982531369620434e-07,2.6338961431454435,1.662152970473199e-08,0.884782853478953
42.25,3.107358442961685e-07,2.6416025877097162,1.6484113619371694e-08,0.892665141185076
42.5,3.116741299728663e-07,2.6495368635036023,1.635011829365856e-08,0.9006585892733084
42.75,3.1263247611392603e-07,2.6576340141409136,1.6219057805592608e-08,0.9087422468671114
43.0,3.1360198991753284e-07,2.6658190674718965,1.609040481875489e-08,0.9168911367064301
43.25,3.145727159498451e-07,2.6740081746940736,1.596360003551499e-08,0.9250765519497075
43.5,3.155337961661819e-07,2.6821099543053086,1.5838062299720513e-08,0.9332664391589668
43.75,3.1647365102122345e-07,2.6900270125531356,1.5713199119750428e-08,0.9414258603398765
44.0,3.1738017788611463e-07,2.6976576086215007,1.5588417381439815e-08,0.9495175252311
44.25,3.182409626586227e-07,2.7048974300191126,1.5463134023316723e-08,0.9575023835247878
44.5,3.190435002021976e-07,2.7116414415415204,1.53367864536569e-08,0.9653402653832964
44.75,3.197754190853673e-07,2.7177857698088776,1.5208842499824252e-08,0.9729905575234634
45.0,3.2042470601737993e-07,2.72322958475825,1.5078809694935527e-08,0.9804129012928726
45.25,3.2097992539085875e-07,2.7278769396052427,1.494624372472786e-08,0.9875678985821401
45.5,3.214304294473826e-07,2.731638531683739,1.4810755878234422e-08,0.9944178111184677
45.75,3.2176655477562907e-07,2.734433348209794,1.4672019369061715e-08,1.0009272386785524
46.0,3.219798011307165e-07,2.7361901633680357,1.452977441925616e-08,1.007063762048132
