"source_head","mcp_tool_name","family","source_name_resolution","registration_sites","descriptor_state","evidence_capability_id","offer_disposition","installed_catalog_acceptance"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_consent_revoke","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3051|full_helix_mcp:server/mcp/helix-mcp-server.ts:9843","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_create","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3022|full_helix_mcp:server/mcp/helix-mcp-server.ts:9775","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_floor_acquire","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3097|full_helix_mcp:server/mcp/helix-mcp-server.ts:9956","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_floor_inspect","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3009|full_helix_mcp:server/mcp/helix-mcp-server.ts:9746","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_floor_release","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3084|full_helix_mcp:server/mcp/helix-mcp-server.ts:9925","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_inspect","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:2996|full_helix_mcp:server/mcp/helix-mcp-server.ts:9713","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_list","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:2983|full_helix_mcp:server/mcp/helix-mcp-server.ts:9685","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_presence_set","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3038|full_helix_mcp:server/mcp/helix-mcp-server.ts:9815","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_source_create","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3146|full_helix_mcp:server/mcp/helix-mcp-server.ts:10201","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_source_list","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3137|full_helix_mcp:server/mcp/helix-mcp-server.ts:10168","gap","","unselected","not_run"
